feature,coefficient
distance_from_home_km,0.8167023601059544
tx_count_10m,0.7325586539163746
shared_cards_24h,0.6103177663015713
is_new_device,0.491922865429896
failed_attempts_1h,0.4751692612085135
shared_devices_24h,0.4035253683877625
is_international,0.34236003259093295
amount,0.3186085520558199
billing_shipping_mismatch,0.10785856482524457
customer_tenure_days,0.02379455725669256
merchant_risk_score,-0.007032966982568853
hour_of_day,-0.05767937126356663
avg_amount_30d,-0.15183627849500828
amount_ratio,-0.2531555034269521
device_age_days,-0.4883733086261424
